$Csv : ,RUBY-4X

Depth,BH_FLAG,DT,FACIES,GR,LLD,NPHI,RHOB
M,,us/ft,,gAPI,ohm.m,m3/m3,g/cm3
1833.5244,0.0000,85.6132,1.0000,38.5910,2.2988,0.2330,2.1875
1833.6768,0.0000,86.5183,1.0000,38.1190,2.3368,0.2332,2.1662
1833.8292,0.0000,87.6783,1.0000,40.0270,2.3682,0.2352,2.1536
1833.9816,0.0000,89.0977,1.0000,44.5780,2.3621,0.2416,2.1410
1834.1340,0.0000,90.7122,1.0000,50.0990,2.2876,0.2382,2.1336
1834.2864,0.0000,91.3861,1.0000,51.6530,2.1761,0.2317,2.1336
1834.4388,0.0000,91.4596,1.0000,48.5200,2.0838,0.2287,2.1358
1834.5912,0.0000,92.0012,1.0000,48.9080,2.0573,0.2252,2.1484
1834.7436,0.0000,93.4158,1.0000,48.9080,2.0842,0.2504,2.1609
1834.8960,0.0000,98.6288,3.0000,56.3990,2.1116,0.2650,2.1735
1835.0484,0.0000,102.0035,3.0000,66.6060,2.0793,0.2945,2.1240
1835.2008,0.0000,104.4072,4.0000,76.4030,1.9687,0.3210,2.0823
1835.3532,0.0000,105.9210,4.0000,83.8140,1.8321,0.3738,2.1051
1835.5056,0.0000,107.4610,4.0000,87.7760,1.7177,0.3835,2.1408
1835.6580,0.0000,104.3366,4.0000,87.5660,1.6573,0.3543,2.1569
1835.8104,0.0000,100.6928,3.0000,83.2170,1.6171,0.2920,2.1796
1835.9628,0.0000,95.8855,3.0000,72.7160,1.5929,0.2668,2.2034
1836.1152,0.0000,93.1467,2.0000,62.1060,1.6179,0.2313,2.2429
1836.2676,0.0000,90.9192,2.0000,58.2140,1.6715,0.2545,2.2411
1836.4200,0.0000,92.5207,3.0000,62.1790,1.7221,0.3089,2.2460
1836.5724,0.0000,93.6231,4.0000,69.4180,1.7443,0.4150,2.2550
1836.7248,0.0000,93.9302,4.0000,74.2990,1.7379,0.4412,2.2416
1836.8772,0.0000,94.8174,4.0000,73.6510,1.7314,0.4395,2.2051
1837.0296,0.0000,95.9195,3.0000,67.7900,1.7654,0.3024,2.1725
1837.1820,0.0000,93.8671,1.0000,60.6810,1.8745,0.2119,2.1584
1837.3344,0.0000,92.9925,1.0000,55.6180,2.0038,0.2149,2.1495
1837.4868,0.0000,94.1137,2.0000,65.7410,2.0640,0.2599,2.1358
1837.6392,0.0000,100.2024,4.0000,76.2610,1.9070,0.3492,2.1267
1837.7916,0.0000,109.1484,4.0000,84.8770,1.6607,0.3992,2.1087
1837.9440,0.0000,109.3032,4.0000,89.9740,1.4640,0.4221,2.1046
1838.0964,0.0000,106.3245,4.0000,90.3890,1.4557,0.4237,2.1040
1838.2488,0.0000,102.2685,4.0000,85.4420,1.5882,0.3957,2.1040
1838.4012,0.0000,95.7942,4.0000,77.3420,1.7613,0.3234,2.1010
1838.5536,0.0000,86.5329,3.0000,66.2440,1.9813,0.2633,2.0927
1838.7060,0.0000,79.7082,2.0000,55.4580,2.2588,0.2330,2.0817
1838.8584,0.0000,77.0662,1.0000,51.9810,2.5390,0.2157,2.0758
1839.0108,0.0000,75.9525,2.0000,54.4420,2.6458,0.2271,2.0847
1839.1632,0.0000,76.9130,3.0000,59.4150,2.4194,0.2841,2.1000
